,index
1255,LCE1C
1256,LCE1B
1257,LCE1A
1258,LCE6A
1259,SMCP
1260,IVL
1261,LINC01527
1262,SPRR4
1263,SPRR1A
1264,SPRR3
1265,SPRR1B
1266,SPRR2D
1267,SPRR2A
1268,SPRR2B
1269,SPRR2E
1270,SPRR2F
1271,SPRR2G
1272,LELP1
1273,PRR9
1274,LOR
1275,PGLYRP3
1276,PGLYRP4
1277,S100A9
1278,S100A12
1279,S100A8
1280,S100A7A
1281,S100A7L2
1282,S100A7
1283,S100A6
1284,S100A5
1285,S100A4
1286,S100A3
1287,S100A2
1288,S100A16
1289,S100A14
1290,S100A13
1291,S100A1
1292,CHTOP
1293,SNAPIN
1294,ILF2
1295,NPR1
1296,INTS3
1297,SLC27A3
1298,GATAD2B
1299,DENND4B
1300,CRTC2
1301,SLC39A1
1302,CREB3L4
1303,JTB
1304,RAB13
1305,RPS27
1306,NUP210L
1307,TPM3
1308,C1orf189
1309,C1orf43
1310,UBAP2L
1311,HAX1
1312,AQP10
1313,ATP8B2
1314,IL6R
1315,SHE
1316,TDRD10
1317,UBE2Q1
1318,UBE2Q1-AS1
1319,CHRNB2
1320,ADAR
1321,KCNN3
1322,PMVK
1323,PBXIP1
1324,PYGO2
1325,SHC1
1326,CKS1B
1327,FLAD1
1328,LENEP
1329,ZBTB7B
1330,DCST2
1331,DCST1
1332,ADAM15
1333,EFNA4
1334,EFNA3
1335,EFNA1
1336,SLC50A1
1337,DPM3
1338,KRTCAP2
1339,TRIM46
1340,MUC1
1341,AC234582.2
1342,AC234582.1
1343,THBS3
1344,MTX1
1345,GBA
1346,FAM189B
1347,SCAMP3
1348,CLK2
1349,HCN3
1350,PKLR
1351,FDPS
1352,RUSC1-AS1
1353,RUSC1
1354,ASH1L
1355,ASH1L-AS1
1356,MSTO1
1357,YY1AP1
1358,DAP3
1359,GON4L
1360,SYT11
1361,RIT1
1362,RXFP4
1363,ARHGEF2
1364,SSR2
1365,UBQLN4
1366,LAMTOR2
1367,RAB25
1368,MEX3A
1369,LMNA
1370,SEMA4A
1371,SLC25A44
1372,PMF1-BGLAP
1373,PMF1
1374,BGLAP
1375,PAQR6
1376,SMG5
1377,TMEM79
1378,GLMP
1379,VHLL
1380,CCT3
1381,TSACC
1382,RHBG
1383,C1orf61
1384,MEF2D
1385,IQGAP3
1386,TTC24
1387,GPATCH4
1388,AL365181.2
1389,HAPLN2
1390,BCAN
1391,NES
1392,CRABP2
1393,ISG20L2
1394,RRNAD1
1395,MRPL24
1396,HDGF
1397,PRCC
1398,SH2D2A
1399,NTRK1
1400,INSRR
1401,PEAR1
1402,LRRC71
1403,ARHGEF11
1404,ETV3L
1405,ETV3
1406,FCRL5
1407,FCRL4
1408,FCRL3
1409,FCRL2
1410,FCRL1
1411,CD5L
1412,CD1D
1413,CD1A
1414,CD1C
1415,CD1B
1416,CD1E
1417,OR10T2
1418,OR10K2
1419,OR10K1
1420,OR10R2
1421,OR6Y1
1422,OR6P1
1423,OR10X1
1424,OR10Z1
1425,SPTA1
1426,OR6K2
1427,OR6K3
1428,OR6K6
1429,OR6N1
1430,OR6N2
1431,MNDA
1432,PYHIN1
1433,IFI16
1434,AIM2
1435,CADM3
1436,CADM3-AS1
1437,ACKR1
1438,FCER1A
1439,OR10J3
1440,OR10J1
1441,OR10J5
1442,APCS
1443,CRP
1444,DUSP23
1445,FCRL6
1446,SLAMF8
1447,VSIG8
1448,CFAP45
1449,TAGLN2
1450,IGSF9
1451,SLAMF9
1452,LINC01133
1453,PIGM
1454,KCNJ10
1455,KCNJ9
1456,IGSF8
1457,ATP1A2
1458,ATP1A4
1459,CASQ1
1460,PEA15
1461,DCAF8
1462,PEX19
1463,COPA
1464,NCSTN
1465,NHLH1
1466,VANGL2
1467,SLAMF6
1468,CD84
1469,SLAMF1
1470,CD48
1471,SLAMF7
1472,LY9
1473,CD244
1474,ITLN1
1475,ITLN2
1476,F11R
1477,TSTD1
1478,USF1
1479,ARHGAP30
1480,AL591806.1
1481,KLHDC9
1482,PFDN2
1483,NIT1
1484,DEDD
1485,UFC1
1486,USP21
1487,PPOX
1488,B4GALT3
1489,ADAMTS4
1490,NDUFS2
1491,FCER1G
1492,APOA2
1493,TOMM40L
1494,NR1I3
1495,PCP4L1
1496,MPZ
1497,SDHC
1498,CFAP126
1499,FCGR2A
1500,HSPA6
1501,FCGR3A
1502,FCGR3B
1503,FCGR2B
1504,FCRLA
1505,FCRLB
1506,DUSP12
1507,ATF6
1508,OLFML2B
1509,NOS1AP
1510,C1orf226
1511,SH2D1B
1512,UHMK1
1513,UAP1
1514,DDR2
1515,HSD17B7
1516,CCDC190
1517,RGS4
1518,RGS5
1519,RGS5-1
1520,NUF2
1521,PBX1
1522,LMX1A
1523,RXRG
1524,LRRC52
1525,MGST3
1526,ALDH9A1
1527,TMCO1
1528,UCK2
1529,FAM78B
1530,POGK
1531,TADA1
1532,ILDR2
1533,MAEL
1534,GPA33
1535,DUSP27
1536,LINC01363
1537,POU2F1
1538,CD247
1539,CREG1
1540,RCSD1
1541,MPZL1
1542,ADCY10
1543,MPC2
1544,DCAF6
1545,GPR161
1546,TIPRL
1547,SFT2D2
1548,TBX19
1549,XCL2
1550,XCL1
1551,DPT
1552,LINC00626
1553,LINC00970
1554,ATP1B1
1555,NME7
1556,BLZF1
1557,CCDC181
1558,SLC19A2
1559,F5
1560,SELP
1561,C1orf112
1562,SELL
1563,SELE
1564,METTL18
1565,SCYL3
1566,KIFAP3
1567,METTL11B
1568,LINC01142
1569,GORAB
1570,PRRX1
1571,MROH9
1572,FMO3
1573,FMO2
1574,FMO1
1575,FMO4
1576,PRRC2C
1577,MYOC
1578,VAMP4
1579,METTL13
1580,DNM3
1581,DNM3OS
1582,PIGC
1583,C1orf105
1584,SUCO
1585,FASLG
1586,TNFSF18
1587,TNFSF4
1588,PRDX6
1589,SLC9C2
1590,ANKRD45
1591,KLHL20
1592,CENPL
1593,DARS2
1594,GAS5-AS1
1595,ZBTB37
1596,SERPINC1
1597,RC3H1
1598,RABGAP1L
1599,GPR52
1600,CACYBP
1601,MRPS14
1602,TNN
1603,KIAA0040
1604,TNR
1605,PAPPA2
1606,ASTN1
1607,BRINP2
1608,SEC16B
1609,RASAL2-AS1
1610,RASAL2
1611,TEX35
1612,C1orf220
1613,RALGPS2
1614,ANGPTL1
1615,FAM20B
1616,TOR3A
1617,ABL2
1618,SOAT1
1619,AXDND1
1620,NPHS2
1621,TDRD5
1622,FAM163A
1623,TOR1AIP2
1624,TOR1AIP1
1625,CEP350
1626,QSOX1
1627,LHX4
1628,ACBD6
1629,OVAAL
1630,XPR1
1631,KIAA1614
1632,KIAA1614-AS1
1633,STX6
1634,MR1
1635,IER5
1636,CACNA1E
